,latitude,longitude,Place
0,35.746799000000000,139.73127400000000,東京都北区滝野川３丁目
1,35.66405,139.779746,東京都中央区月島３丁目
2,35.675882,139.67056100000000,東京都渋谷区笹塚２丁目
3,35.70017,139.648465,東京都杉並区高円寺南２丁目23-2
4,35.766431,139.872321,東京都葛飾区金町３丁目7-2
5,35.73157,139.792849,東京都荒川区南千住５丁目
6,35.751022,139.591831,東京都練馬区東大泉３丁目
7,35.62685,139.691297,東京都目黒区鷹番１丁目
8,35.716331,139.757701,東京都文京区向丘１丁目
9,35.748906,139.721537,東京都板橋区板橋４丁目
10,35.588440000000000,139.704739,東京都大田区西馬込１丁目30-8
11,35.737627,139.889771,東京都江戸川区北小岩３丁目
12,35.661966,139.715871,東京都港区南青山６丁目
13,35.700966000000000,139.632443,東京都杉並区阿佐谷南３丁目６－５
14,35.692998000000000,139.80689000000000,東京都墨田区緑４丁目
15,35.679304000000000,139.671797,東京都渋谷区幡ヶ谷３丁目39-4
16,35.760393,139.673051,東京都板橋区桜川３丁目10-12
17,35.685078000000000,139.885,東京都江戸川区西瑞江４丁目
18,35.688522,139.725926,東京都新宿区四谷三栄町
19,35.679948000000000,139.787201,東京都中央区日本橋箱崎町27-9
20,35.724143,139.66601600000000,東京都中野区江古田４丁目
21,35.70344,139.766326,東京都文京区湯島２丁目
22,35.668082,139.783181,東京都中央区佃１丁目
23,35.579504,139.723532,東京都大田区大森西１丁目
24,35.73927,139.89631,東京都江戸川区北小岩４丁目３８－２８
25,35.738868,139.68493600000000,東京都豊島区千早４丁目32-3
26,35.704008,139.7804,東京都台東区台東３丁目3-1
27,35.769178000000000,139.82282,東京都足立区綾瀬６丁目
28,35.684294,139.86480600000000,東京都江戸川区船堀４丁目
29,35.667770000000000,139.685155,東京都渋谷区上原２丁目
30,35.715022,139.70837,東京都豊島区高田３丁目
31,35.654323,139.863846,東京都江戸川区中葛西７丁目
32,35.733977,139.872286,東京都葛飾区奥戸９丁目
33,35.615317,139.649323,東京都世田谷区等々力８丁目16-7
34,35.681268000000000,139.71428800000000,東京都新宿区大京町31-4
35,35.760205,139.847835,東京都葛飾区亀有２丁目33-5
36,35.743474,139.592328,東京都練馬区石神井台３丁目6-3
37,35.732933,139.788374,東京都荒川区南千住１丁目
38,35.725793000000000,139.682045,東京都豊島区南長崎５丁目
39,35.774727,139.856956,東京都葛飾区南水元１丁目7番10号
40,35.709134000000000,139.74371200000000,東京都文京区水道１丁目１２－１
41,35.705402,139.80205800000000,東京都墨田区東駒形２丁目5-10
42,35.579165,139.69914600000000,東京都大田区久が原５丁目2-10
43,35.579505,139.69991300000000,東京都大田区久が原５丁目
44,35.740315,139.572403,東京都練馬区南大泉３丁目
45,35.72622,139.80044000000000,東京都台東区日本堤１丁目
46,35.715185,139.824597,東京都墨田区京島３丁目20－15
47,35.661594,139.698157,東京都渋谷区宇田川町
48,35.734996,139.672156,東京都練馬区豊玉上１丁目
49,35.687192000000000,139.695126,東京都新宿区西新宿３丁目
50,35.654634,139.60827,東京都世田谷区祖師谷６丁目18-8
51,35.734448,139.67330800000000,東京都練馬区旭丘１丁目59-4
